time,symbol,field,value
2023-01-20 16:26:00+00:00,AOS,Close,58.5750007629
2023-01-20 16:27:00+00:00,AOS,Close,58.5900001526
2023-01-20 16:28:00+00:00,AOS,Close,58.5699996948
2023-01-20 16:29:00+00:00,AOS,Close,58.6100006104
2023-01-20 16:31:00+00:00,AOS,Close,58.5699996948
2023-01-20 16:34:00+00:00,AOS,Close,58.5699996948
2023-01-20 16:35:00+00:00,AOS,Close,58.5699996948
2023-01-20 16:36:00+00:00,AOS,Close,58.5400009155
2023-01-20 16:38:00+00:00,AOS,Close,58.5299987793
2023-01-20 16:39:00+00:00,AOS,Close,58.5099983215
2023-01-20 16:40:00+00:00,AOS,Close,58.5224990845
2023-01-20 16:41:00+00:00,AOS,Close,58.5649986267
2023-01-20 16:43:00+00:00,AOS,Close,58.6199989319
2023-01-20 16:45:00+00:00,AOS,Close,58.6100006104
2023-01-20 16:46:00+00:00,AOS,Close,58.5999984741
2023-01-20 16:47:00+00:00,AOS,Close,58.6300010681
2023-01-20 16:48:00+00:00,AOS,Close,58.6500015259
2023-01-20 16:49:00+00:00,AOS,Close,58.6599998474
2023-01-20 16:50:00+00:00,AOS,Close,58.6100997925
2023-01-20 16:51:00+00:00,AOS,Close,58.625
2023-01-20 16:53:00+00:00,AOS,Close,58.6199989319
2023-01-20 16:54:00+00:00,AOS,Close,58.6100006104
2023-01-20 16:55:00+00:00,AOS,Close,58.6199989319
2023-01-20 16:56:00+00:00,AOS,Close,58.6300010681
2023-01-20 16:57:00+00:00,AOS,Close,58.5900001526
2023-01-20 16:58:00+00:00,AOS,Close,58.5699996948
2023-01-20 16:59:00+00:00,AOS,Close,58.5499992371
2023-01-20 17:00:00+00:00,AOS,Close,58.5449981689
2023-01-20 17:01:00+00:00,AOS,Close,58.5600013733
2023-01-20 17:02:00+00:00,AOS,Close,58.5649986267
2023-01-20 17:03:00+00:00,AOS,Close,58.5400009155
2023-01-20 17:05:00+00:00,AOS,Close,58.5400009155
2023-01-20 17:06:00+00:00,AOS,Close,58.5600013733
2023-01-20 17:07:00+00:00,AOS,Close,58.5349998474
2023-01-20 17:08:00+00:00,AOS,Close,58.5400009155
2023-01-20 17:09:00+00:00,AOS,Close,58.5
2023-01-20 17:10:00+00:00,AOS,Close,58.4850006104
2023-01-20 17:11:00+00:00,AOS,Close,58.4949989319
2023-01-20 17:12:00+00:00,AOS,Close,58.4700012207
2023-01-20 17:13:00+00:00,AOS,Close,58.4550018311
2023-01-20 17:14:00+00:00,AOS,Close,58.4749984741
2023-01-20 17:15:00+00:00,AOS,Close,58.4199981689
