time,symbol,field,value
2023-01-20 16:13:00+00:00,ABT,Close,111.9000015259
2023-01-20 16:14:00+00:00,ABT,Close,111.8199996948
2023-01-20 16:15:00+00:00,ABT,Close,111.8099975586
2023-01-20 16:16:00+00:00,ABT,Close,111.8899993896
2023-01-20 16:17:00+00:00,ABT,Close,111.8960037231
2023-01-20 16:18:00+00:00,ABT,Close,111.9800033569
2023-01-20 16:19:00+00:00,ABT,Close,112.0500030518
2023-01-20 16:20:00+00:00,ABT,Close,112.0400009155
2023-01-20 16:21:00+00:00,ABT,Close,112.0390014648
2023-01-20 16:22:00+00:00,ABT,Close,112.0350036621
2023-01-20 16:23:00+00:00,ABT,Close,112.0299987793
2023-01-20 16:24:00+00:00,ABT,Close,112.0899963379
2023-01-20 16:25:00+00:00,ABT,Close,112.0899963379
2023-01-20 16:26:00+00:00,ABT,Close,112.1100006104
2023-01-20 16:27:00+00:00,ABT,Close,112.0449981689
2023-01-20 16:28:00+00:00,ABT,Close,112.0699996948
2023-01-20 16:29:00+00:00,ABT,Close,112.0500030518
2023-01-20 16:30:00+00:00,ABT,Close,112.0999984741
2023-01-20 16:31:00+00:00,ABT,Close,112.0999984741
2023-01-20 16:32:00+00:00,ABT,Close,112.1600036621
2023-01-20 16:33:00+00:00,ABT,Close,112.0899963379
2023-01-20 16:34:00+00:00,ABT,Close,112.0899963379
2023-01-20 16:35:00+00:00,ABT,Close,111.9945983887
2023-01-20 16:36:00+00:00,ABT,Close,111.9499969482
2023-01-20 16:37:00+00:00,ABT,Close,111.8899993896
2023-01-20 16:38:00+00:00,ABT,Close,111.9400024414
2023-01-20 16:39:00+00:00,ABT,Close,111.9100036621
2023-01-20 16:40:00+00:00,ABT,Close,111.9700012207
2023-01-20 16:41:00+00:00,ABT,Close,111.9400024414
2023-01-20 16:42:00+00:00,ABT,Close,111.9499969482
2023-01-20 16:43:00+00:00,ABT,Close,111.9400024414
2023-01-20 16:44:00+00:00,ABT,Close,111.9499969482
2023-01-20 16:45:00+00:00,ABT,Close,111.9499969482
2023-01-20 16:46:00+00:00,ABT,Close,111.9700012207
2023-01-20 16:47:00+00:00,ABT,Close,111.9300003052
2023-01-20 16:48:00+00:00,ABT,Close,111.9699020386
2023-01-20 16:49:00+00:00,ABT,Close,111.9800033569
2023-01-20 16:50:00+00:00,ABT,Close,111.9599990845
2023-01-20 16:51:00+00:00,ABT,Close,111.9950027466
2023-01-20 16:52:00+00:00,ABT,Close,111.9630966187
2023-01-20 16:53:00+00:00,ABT,Close,111.9199981689
2023-01-20 16:54:00+00:00,ABT,Close,111.9000015259
2023-01-20 16:55:00+00:00,ABT,Close,111.8899993896
2023-01-20 16:56:00+00:00,ABT,Close,111.9400024414
2023-01-20 16:57:00+00:00,ABT,Close,111.9749984741
2023-01-20 16:58:00+00:00,ABT,Close,111.9400024414
2023-01-20 16:59:00+00:00,ABT,Close,111.9700012207
2023-01-20 17:00:00+00:00,ABT,Close,111.9400024414
2023-01-20 17:01:00+00:00,ABT,Close,111.9000015259
2023-01-20 17:02:00+00:00,ABT,Close,111.9240036011
2023-01-20 17:03:00+00:00,ABT,Close,111.8899993896
2023-01-20 17:04:00+00:00,ABT,Close,111.9250030518
2023-01-20 17:05:00+00:00,ABT,Close,111.8949966431
2023-01-20 17:06:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:07:00+00:00,ABT,Close,111.9599990845
2023-01-20 17:08:00+00:00,ABT,Close,111.8799972534
2023-01-20 17:09:00+00:00,ABT,Close,111.9000015259
2023-01-20 17:10:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:11:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:12:00+00:00,ABT,Close,111.9349975586
2023-01-20 17:13:00+00:00,ABT,Close,111.9400024414
2023-01-20 17:14:00+00:00,ABT,Close,111.9499969482
2023-01-20 17:15:00+00:00,ABT,Close,111.9300003052
2023-01-20 17:16:00+00:00,ABT,Close,111.9800033569
2023-01-20 17:17:00+00:00,ABT,Close,112.0100021362
2023-01-20 17:18:00+00:00,ABT,Close,111.9777984619
2023-01-20 17:19:00+00:00,ABT,Close,111.9800033569
2023-01-20 17:20:00+00:00,ABT,Close,112.0
2023-01-20 17:21:00+00:00,ABT,Close,112.0100021362
2023-01-20 17:22:00+00:00,ABT,Close,111.9000015259
2023-01-20 17:23:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:24:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:25:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:26:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:27:00+00:00,ABT,Close,111.9400024414
2023-01-20 17:28:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:29:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:30:00+00:00,ABT,Close,111.9250030518
2023-01-20 17:31:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:32:00+00:00,ABT,Close,111.8300018311
2023-01-20 17:33:00+00:00,ABT,Close,111.9000015259
2023-01-20 17:34:00+00:00,ABT,Close,111.8899993896
2023-01-20 17:35:00+00:00,ABT,Close,111.8799972534
2023-01-20 17:36:00+00:00,ABT,Close,111.8899002075
2023-01-20 17:37:00+00:00,ABT,Close,111.8649978638
2023-01-20 17:38:00+00:00,ABT,Close,111.8249969482
2023-01-20 17:39:00+00:00,ABT,Close,111.8600006104
2023-01-20 17:40:00+00:00,ABT,Close,111.9100036621
2023-01-20 17:41:00+00:00,ABT,Close,111.8899993896
2023-01-20 17:42:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:43:00+00:00,ABT,Close,111.9199981689
2023-01-20 17:44:00+00:00,ABT,Close,111.8799972534
2023-01-20 17:45:00+00:00,ABT,Close,111.8649978638
2023-01-20 17:46:00+00:00,ABT,Close,111.8300018311
2023-01-20 17:47:00+00:00,ABT,Close,111.7300033569
2023-01-20 17:48:00+00:00,ABT,Close,111.7399978638
2023-01-20 17:49:00+00:00,ABT,Close,111.7200012207
2023-01-20 17:50:00+00:00,ABT,Close,111.7699966431
2023-01-20 17:51:00+00:00,ABT,Close,111.8324966431
2023-01-20 17:52:00+00:00,ABT,Close,111.8399963379
2023-01-20 17:53:00+00:00,ABT,Close,111.7949981689
2023-01-20 17:54:00+00:00,ABT,Close,111.8000030518
2023-01-20 17:55:00+00:00,ABT,Close,111.7600021362
2023-01-20 17:56:00+00:00,ABT,Close,111.7600021362
2023-01-20 17:57:00+00:00,ABT,Close,111.7699966431
2023-01-20 17:58:00+00:00,ABT,Close,111.7399978638
2023-01-20 17:59:00+00:00,ABT,Close,111.7600021362
2023-01-20 18:00:00+00:00,ABT,Close,111.8000030518
2023-01-20 18:01:00+00:00,ABT,Close,111.8394012451
2023-01-20 18:02:00+00:00,ABT,Close,111.9300003052
2023-01-20 18:03:00+00:00,ABT,Close,111.9300003052
2023-01-20 18:04:00+00:00,ABT,Close,111.9000015259
2023-01-20 18:05:00+00:00,ABT,Close,111.9400024414
2023-01-20 18:06:00+00:00,ABT,Close,111.9181976318
2023-01-20 18:07:00+00:00,ABT,Close,111.9199981689
2023-01-20 18:08:00+00:00,ABT,Close,111.8700027466
2023-01-20 18:09:00+00:00,ABT,Close,111.8399963379
2023-01-20 18:10:00+00:00,ABT,Close,111.8000030518
2023-01-20 18:11:00+00:00,ABT,Close,111.7750015259
2023-01-20 18:12:00+00:00,ABT,Close,111.7799987793
2023-01-20 18:13:00+00:00,ABT,Close,111.875
2023-01-20 18:14:00+00:00,ABT,Close,111.9400024414
2023-01-20 18:15:00+00:00,ABT,Close,111.8889007568
2023-01-20 18:16:00+00:00,ABT,Close,111.8499984741
2023-01-20 18:17:00+00:00,ABT,Close,111.8300018311
2023-01-20 18:18:00+00:00,ABT,Close,111.8300018311
2023-01-20 18:19:00+00:00,ABT,Close,111.7099990845
2023-01-20 18:20:00+00:00,ABT,Close,111.7399978638
2023-01-20 18:21:00+00:00,ABT,Close,111.7399978638
2023-01-20 18:22:00+00:00,ABT,Close,111.7600021362
2023-01-20 18:23:00+00:00,ABT,Close,111.7399978638
2023-01-20 18:24:00+00:00,ABT,Close,111.7600021362
2023-01-20 18:25:00+00:00,ABT,Close,111.8300018311
2023-01-20 18:26:00+00:00,ABT,Close,111.8099975586
2023-01-20 18:27:00+00:00,ABT,Close,111.7600021362
2023-01-20 18:28:00+00:00,ABT,Close,111.7900009155
2023-01-20 18:29:00+00:00,ABT,Close,111.7399978638
2023-01-20 18:30:00+00:00,ABT,Close,111.8280029297
2023-01-20 18:31:00+00:00,ABT,Close,111.7949981689
2023-01-20 18:32:00+00:00,ABT,Close,111.7799987793
2023-01-20 18:33:00+00:00,ABT,Close,111.7799987793
2023-01-20 18:34:00+00:00,ABT,Close,111.7699966431
2023-01-20 18:35:00+00:00,ABT,Close,111.7399978638
2023-01-20 18:36:00+00:00,ABT,Close,111.8141021729
2023-01-20 18:37:00+00:00,ABT,Close,111.9300003052
2023-01-20 18:38:00+00:00,ABT,Close,111.9100036621
2023-01-20 18:39:00+00:00,ABT,Close,111.8300018311
2023-01-20 18:40:00+00:00,ABT,Close,111.8899993896
2023-01-20 18:41:00+00:00,ABT,Close,111.8399963379
2023-01-20 18:42:00+00:00,ABT,Close,111.8249969482
2023-01-20 18:43:00+00:00,ABT,Close,111.7799987793
2023-01-20 18:44:00+00:00,ABT,Close,111.75
2023-01-20 18:45:00+00:00,ABT,Close,111.7649993896
2023-01-20 18:46:00+00:00,ABT,Close,111.6699981689
2023-01-20 18:47:00+00:00,ABT,Close,111.6600036621
2023-01-20 18:48:00+00:00,ABT,Close,111.75
2023-01-20 18:49:00+00:00,ABT,Close,111.9100036621
2023-01-20 18:50:00+00:00,ABT,Close,112.0
2023-01-20 18:51:00+00:00,ABT,Close,111.9899978638
2023-01-20 18:52:00+00:00,ABT,Close,112.0
2023-01-20 18:53:00+00:00,ABT,Close,111.9100036621
2023-01-20 18:54:00+00:00,ABT,Close,111.8569030762
2023-01-20 18:55:00+00:00,ABT,Close,111.8399963379
2023-01-20 18:56:00+00:00,ABT,Close,111.8399963379
2023-01-20 18:57:00+00:00,ABT,Close,111.875
2023-01-20 18:58:00+00:00,ABT,Close,111.8799972534
